colaborador_id,idade,genero,estado_civil,escolaridade,area,cargo,nivel_cargo,data_admissao,tempo_empresa_anos,salario_mensal,distancia_casa_km,horas_extras,viagens_negocio,satisfacao_trabalho,satisfacao_ambiente,equilibrio_vida_trabalho,avaliacao_desempenho,treinamentos_ultimo_ano,recebeu_promocao_5_anos,rotatividade,data_desligamento,motivo_desligamento
COL-0001,38,Masculino,Casado(a),Mestrado,Atendimento,Analista de Atendimento,3,2013-12-13,12,7800.0,11,Não,Raramente,1,1,3,3,3,Sim,Sim,2023-07-28 04:45:25.596,Falta de perspectiva de crescimento
COL-0002,61,Feminino,Casado(a),Pós-graduação,Recursos Humanos,Especialista de Pessoas,5,2025-03-07,1,12950.0,49,Não,Frequentemente,5,2,2,5,3,Não,Não,,Não se aplica
COL-0003,51,Não binário,Casado(a),Graduação,Operações,Coordenador de Operações,4,2022-05-18,4,11400.0,39,Não,Raramente,4,5,4,3,4,Não,Não,,Não se aplica
COL-0004,34,Feminino,União estável,Tecnólogo,Tecnologia,Analista de Dados,3,2021-05-28,4,11450.0,46,Não,Raramente,3,2,4,4,3,Não,Não,,Não se aplica
COL-0005,46,Feminino,União estável,Pós-graduação,Financeiro,Controller,3,2015-11-10,11,9550.0,35,Não,Nunca,3,3,4,3,1,Sim,Não,,Não se aplica
COL-0006,50,Masculino,Divorciado(a),Graduação,Operações,Coordenador de Operações,3,2019-04-09,7,9650.0,49,Sim,Raramente,1,5,5,3,2,Sim,Não,,Não se aplica
COL-0007,35,Não binário,União estável,Graduação,Atendimento,Analista de Atendimento,3,2021-06-04,4,8450.0,16,Não,Frequentemente,1,2,2,3,1,Sim,Sim,2023-03-23 19:04:09.287,Desempenho abaixo do esperado
COL-0008,36,Feminino,União estável,Tecnólogo,Atendimento,Assistente de Atendimento,2,2019-08-21,6,6300.0,37,Sim,Raramente,4,4,4,5,5,Não,Não,,Não se aplica
COL-0009,40,Feminino,Divorciado(a),Graduação,Comercial,Executivo de Contas,2,2023-12-10,3,7400.0,25,Não,Raramente,5,4,4,3,6,Não,Não,,Não se aplica
COL-0010,60,Feminino,Casado(a),Ensino médio,Marketing,Coordenador de Marketing,5,2013-06-15,12,13050.0,18,Não,Frequentemente,1,3,4,3,0,Sim,Não,,Não se aplica
COL-0011,49,Não binário,Divorciado(a),Graduação,Atendimento,Analista de Atendimento,4,2023-11-20,3,9000.0,44,Sim,Raramente,3,3,2,4,4,Sim,Não,,Não se aplica
COL-0012,33,Feminino,Casado(a),Graduação,Recursos Humanos,Analista de RH,2,2013-09-14,12,8100.0,34,Não,Nunca,4,3,4,4,4,Não,Não,,Não se aplica
COL-0013,34,Feminino,Solteiro(a),Tecnólogo,Operações,Analista de Operações,2,2019-03-25,7,6800.0,24,Sim,Nunca,2,2,4,3,3,Sim,Sim,2026-01-26 00:25:05.442,Desempenho abaixo do esperado
COL-0014,24,Masculino,Casado(a),Tecnólogo,Financeiro,Analista Financeiro,2,2019-10-02,6,8750.0,5,Sim,Nunca,3,1,1,4,3,Não,Sim,2023-01-21 05:00:27.262,Falta de perspectiva de crescimento
COL-0015,36,Feminino,Divorciado(a),Graduação,Atendimento,Analista de Atendimento,3,2020-07-03,6,8550.0,26,Não,Raramente,3,5,4,2,4,Sim,Não,,Não se aplica
